BGRI2021,N_INDIVIDUOS,supply_departures,dep_per_1000_pop,pop_per_departure,underservice_score
06032400108,22.0,0.0,0.0,inf,22.0
06030100112,22.0,0.0,0.0,inf,22.0
06031100336,22.0,0.0,0.0,inf,22.0
06033700113,22.0,0.0,0.0,inf,22.0
06033501708,22.0,0.0,0.0,inf,22.0
06033600223,21.0,0.0,0.0,inf,21.0
06031200102,21.0,0.0,0.0,inf,21.0
06031200402,21.0,0.0,0.0,inf,21.0
06031200132,21.0,0.0,0.0,inf,21.0
06033200313,21.0,0.0,0.0,inf,21.0
06034000203,20.0,0.0,0.0,inf,20.0
06032000109,20.0,0.0,0.0,inf,20.0
06032000115,20.0,0.0,0.0,inf,20.0
06033700127,20.0,0.0,0.0,inf,20.0
06033200310,20.0,0.0,0.0,inf,20.0
06032900119,20.0,0.0,0.0,inf,20.0
06033200205,20.0,0.0,0.0,inf,20.0
06032000111,20.0,0.0,0.0,inf,20.0
06034000202,19.0,0.0,0.0,inf,19.0
06031100312,19.0,0.0,0.0,inf,19.0
06031100330,19.0,0.0,0.0,inf,19.0
06031100337,19.0,0.0,0.0,inf,19.0
06032400223,19.0,0.0,0.0,inf,19.0
06033200224,19.0,0.0,0.0,inf,19.0
06033700216,19.0,0.0,0.0,inf,19.0
06033700213,18.0,0.0,0.0,inf,18.0
06031100302,18.0,0.0,0.0,inf,18.0
06031802612,18.0,0.0,0.0,inf,18.0
06033200311,18.0,0.0,0.0,inf,18.0
06033700227,18.0,0.0,0.0,inf,18.0
06032400205,18.0,0.0,0.0,inf,18.0
06031802516,125.0,6.0,48.0,20.833333333333332,17.857142857142858
06031100120,17.0,0.0,0.0,inf,17.0
06030100122,17.0,0.0,0.0,inf,17.0
06032900117,17.0,0.0,0.0,inf,17.0
06033700214,17.0,0.0,0.0,inf,17.0
06032400105,16.0,0.0,0.0,inf,16.0
06030100116,16.0,0.0,0.0,inf,16.0
06031100326,16.0,0.0,0.0,inf,16.0
06033900126,16.0,0.0,0.0,inf,16.0
06033200215,16.0,0.0,0.0,inf,16.0
06033700123,16.0,0.0,0.0,inf,16.0
06033700119,15.0,0.0,0.0,inf,15.0
06030100301,14.0,0.0,0.0,inf,14.0
06033200314,14.0,0.0,0.0,inf,14.0
06033900211,14.0,0.0,0.0,inf,14.0
06031100123,13.0,0.0,0.0,inf,13.0
06031100319,13.0,0.0,0.0,inf,13.0
06033700212,13.0,0.0,0.0,inf,13.0
06033700112,13.0,0.0,0.0,inf,13.0
06033700217,13.0,0.0,0.0,inf,13.0
06033200202,13.0,0.0,0.0,inf,13.0
06030900127,13.0,0.0,0.0,inf,13.0
06032400112,13.0,0.0,0.0,inf,13.0
06031100317,12.0,0.0,0.0,inf,12.0
06031100116,12.0,0.0,0.0,inf,12.0
06033801212,12.0,0.0,0.0,inf,12.0
06033200217,12.0,0.0,0.0,inf,12.0
06032400224,12.0,0.0,0.0,inf,12.0
06030100316,11.0,0.0,0.0,inf,11.0
06031100124,11.0,0.0,0.0,inf,11.0
06031200105,11.0,0.0,0.0,inf,11.0
06033300319,11.0,0.0,0.0,inf,11.0
06031100316,11.0,0.0,0.0,inf,11.0
06033200128,11.0,0.0,0.0,inf,11.0
06033501205,95.0,8.0,84.21052631578947,11.875,10.555555555555555
06034000223,10.0,0.0,0.0,inf,10.0
06031200417,10.0,0.0,0.0,inf,10.0
06033700104,10.0,0.0,0.0,inf,10.0
06030900118,126.0,13.0,103.17460317460316,9.692307692307692,9.0
06031100332,9.0,0.0,0.0,inf,9.0
06031100119,9.0,0.0,0.0,inf,9.0
06033300310,9.0,0.0,0.0,inf,9.0
06031100314,9.0,0.0,0.0,inf,9.0
06033501422,9.0,0.0,0.0,inf,9.0
06032000207,9.0,0.0,0.0,inf,9.0
06033501421,9.0,0.0,0.0,inf,9.0
06032400226,9.0,0.0,0.0,inf,9.0
06033900236,8.0,0.0,0.0,inf,8.0
06032000118,8.0,0.0,0.0,inf,8.0
06030900129,8.0,0.0,0.0,inf,8.0
06031200210,100.0,12.0,120.0,8.333333333333334,7.6923076923076925
06031100308,7.0,0.0,0.0,inf,7.0
06032000114,7.0,0.0,0.0,inf,7.0
06033200227,7.0,0.0,0.0,inf,7.0
06031100309,7.0,0.0,0.0,inf,7.0
06031100111,69.0,10.0,144.92753623188406,6.9,6.2727272727272725
06033900119,61.0,9.0,147.54098360655738,6.777777777777778,6.1
06033401914,6.0,0.0,0.0,inf,6.0
06033401911,6.0,0.0,0.0,inf,6.0
06033700229,6.0,0.0,0.0,inf,6.0
06033900314,6.0,0.0,0.0,inf,6.0
06034100304,61.0,10.0,163.93442622950818,6.1,5.545454545454546
06031802608,33.0,5.0,151.51515151515153,6.6,5.5
06033800106,160.0,30.0,187.5,5.333333333333333,5.161290322580645
06033800104,55.0,10.0,181.8181818181818,5.5,5.0
06031100102,5.0,0.0,0.0,inf,5.0
06033600202,5.0,0.0,0.0,inf,5.0
06030900122,5.0,0.0,0.0,inf,5.0
06033200201,5.0,0.0,0.0,inf,5.0
06034100218,74.0,14.0,189.1891891891892,5.285714285714286,4.933333333333334
06033600203,97.0,19.0,195.8762886597938,5.105263157894737,4.85
06030100221,40.0,8.0,200.0,5.0,4.444444444444445
06033200118,41.0,9.0,219.5121951219512,4.555555555555555,4.1
06033600225,76.0,18.0,236.8421052631579,4.222222222222222,4.0
06033600219,4.0,0.0,0.0,inf,4.0
06033300204,4.0,0.0,0.0,inf,4.0
06033900326,4.0,0.0,0.0,inf,4.0
06033700203,4.0,0.0,0.0,inf,4.0
06031802610,4.0,0.0,0.0,inf,4.0
06033900313,4.0,0.0,0.0,inf,4.0
06030100109,67.0,16.0,238.80597014925374,4.1875,3.9411764705882355
06030100121,111.0,28.0,252.25225225225222,3.9642857142857144,3.8275862068965516
06030100114,29.0,7.0,241.3793103448276,4.142857142857143,3.625
06030100209,18.0,4.0,222.2222222222222,4.5,3.6
06031200407,46.0,12.0,260.8695652173913,3.8333333333333335,3.5384615384615383
06030100223,58.0,16.0,275.8620689655172,3.625,3.411764705882353
06030100119,95.0,28.0,294.7368421052631,3.392857142857143,3.2758620689655173
06030100107,72.0,21.0,291.6666666666667,3.4285714285714284,3.272727272727273
06033600201,65.0,19.0,292.3076923076923,3.4210526315789473,3.25
06033501204,412.0,130.0,315.5339805825243,3.169230769230769,3.145038167938931
06031100104,66.0,20.0,303.03030303030306,3.3,3.142857142857143
06033300206,44.0,13.0,295.4545454545455,3.3846153846153846,3.142857142857143
06033501206,158.0,50.0,316.45569620253167,3.16,3.0980392156862746
06033501207,33.0,10.0,303.03030303030306,3.3,3.0
06031200315,3.0,0.0,0.0,inf,3.0
06031200216,3.0,0.0,0.0,inf,3.0
06033900130,3.0,0.0,0.0,inf,3.0
06033900222,3.0,0.0,0.0,inf,3.0
06030100307,58.0,19.0,327.5862068965517,3.0526315789473686,2.9
06030100128,26.0,8.0,307.69230769230774,3.25,2.888888888888889
06031200131,58.0,20.0,344.82758620689657,2.9,2.761904761904762
06033501607,406.0,147.0,362.0689655172414,2.761904761904762,2.7432432432432434
06033900216,46.0,16.0,347.82608695652175,2.875,2.7058823529411766
06031200209,66.0,24.0,363.6363636363636,2.75,2.64
06031200403,34.0,12.0,352.94117647058823,2.8333333333333335,2.6153846153846154
06031200405,34.0,12.0,352.94117647058823,2.8333333333333335,2.6153846153846154
06033900226,31.0,11.0,354.8387096774194,2.8181818181818183,2.5833333333333335
06031200208,49.0,18.0,367.34693877551024,2.7222222222222223,2.5789473684210527
06031802703,67.0,25.0,373.13432835820896,2.68,2.576923076923077
06032900112,51.0,19.0,372.54901960784315,2.6842105263157894,2.55
06033801110,104.0,40.0,384.61538461538464,2.6,2.5365853658536586
06033501208,154.0,60.0,389.61038961038963,2.566666666666667,2.5245901639344264
06031802709,528.0,212.0,401.5151515151515,2.490566037735849,2.4788732394366195
06033900110,32.0,12.0,375.0,2.6666666666666665,2.4615384615384617
06030100124,68.0,27.0,397.05882352941177,2.5185185185185186,2.4285714285714284
06033601002,99.0,40.0,404.04040404040404,2.475,2.4146341463414633
06033800706,121.0,50.0,413.22314049586777,2.42,2.372549019607843
06034000205,87.0,36.0,413.7931034482759,2.4166666666666665,2.3513513513513513
06031200203,100.0,42.0,420.0,2.380952380952381,2.3255813953488373
06033500502,853.0,366.0,429.07385697538103,2.330601092896175,2.32425068119891
06033800707,65.0,27.0,415.3846153846154,2.4074074074074074,2.3214285714285716
06033800107,84.0,36.0,428.57142857142856,2.3333333333333335,2.27027027027027
06033801007,269.0,122.0,453.53159851301115,2.2049180327868854,2.186991869918699
06033300317,41.0,18.0,439.0243902439024,2.2777777777777777,2.1578947368421053
06033600507,197.0,94.0,477.15736040609136,2.095744680851064,2.0736842105263156
06033900217,35.0,16.0,457.1428571428571,2.1875,2.0588235294117645
06031200118,2.0,0.0,0.0,inf,2.0
06033800916,2.0,0.0,0.0,inf,2.0
06033800901,65.0,32.0,492.3076923076923,2.03125,1.9696969696969697
06030100224,49.0,24.0,489.7959183673469,2.0416666666666665,1.96
06033500406,279.0,142.0,508.96057347670256,1.9647887323943662,1.951048951048951
06030100318,39.0,19.0,487.1794871794872,2.0526315789473686,1.95
06033300305,107.0,54.0,504.6728971962616,1.9814814814814814,1.9454545454545455
06033900334,25.0,12.0,480.0,2.0833333333333335,1.9230769230769231
06033800717,63.0,32.0,507.9365079365079,1.96875,1.9090909090909092
06031802112,99.0,51.0,515.1515151515151,1.9411764705882353,1.9038461538461537
06030100103,55.0,28.0,509.09090909090907,1.9642857142857142,1.896551724137931
06031802511,126.0,66.0,523.8095238095239,1.9090909090909092,1.8805970149253732
06031100118,114.0,60.0,526.3157894736842,1.9,1.8688524590163935
06030100104,28.0,14.0,500.0,2.0,1.8666666666666667
06030100106,28.0,14.0,500.0,2.0,1.8666666666666667
06033600502,213.0,114.0,535.2112676056338,1.868421052631579,1.8521739130434782
06031802707,96.0,51.0,531.25,1.8823529411764706,1.8461538461538463
06031800701,507.0,278.0,548.3234714003945,1.8237410071942446,1.8172043010752688
06030900110,165.0,91.0,551.5151515151515,1.8131868131868132,1.7934782608695652
06031200129,73.0,40.0,547.945205479452,1.825,1.7804878048780488
06031100105,73.0,40.0,547.945205479452,1.825,1.7804878048780488
06033501705,73.0,40.0,547.945205479452,1.825,1.7804878048780488
06030100310,103.0,57.0,553.3980582524272,1.8070175438596492,1.7758620689655173
06034100310,23.0,12.0,521.7391304347826,1.9166666666666667,1.7692307692307692
06030900125,65.0,36.0,553.8461538461539,1.8055555555555556,1.7567567567567568
06033900113,86.0,48.0,558.1395348837209,1.7916666666666667,1.7551020408163265
06032900110,81.0,46.0,567.9012345679012,1.7608695652173914,1.7234042553191489
06031200421,43.0,24.0,558.1395348837209,1.7916666666666667,1.72
06031802902,477.0,281.0,589.098532494759,1.697508896797153,1.6914893617021276
06033501712,52.0,30.0,576.9230769230769,1.7333333333333334,1.6774193548387097
06031100214,67.0,39.0,582.0895522388059,1.7179487179487178,1.675
06031802212,61.0,36.0,590.1639344262295,1.6944444444444444,1.6486486486486487
06033600510,409.0,248.0,606.356968215159,1.6491935483870968,1.642570281124498
06031100106,100.0,60.0,600.0,1.6666666666666667,1.639344262295082
06030900124,60.0,36.0,600.0,1.6666666666666667,1.6216216216216217
06031802611,61.0,37.0,606.5573770491803,1.6486486486486487,1.605263157894737
06031804208,125.0,77.0,616.0,1.6233766233766234,1.6025641025641026
06033801208,142.0,88.0,619.7183098591548,1.6136363636363635,1.595505617977528
06030900123,59.0,36.0,610.1694915254237,1.6388888888888888,1.5945945945945945
06033800710,81.0,50.0,617.283950617284,1.62,1.588235294117647
06033800702,41.0,25.0,609.7560975609756,1.64,1.5769230769230769
06034100311,74.0,46.0,621.6216216216216,1.608695652173913,1.574468085106383
06033300410,91.0,57.0,626.3736263736264,1.5964912280701755,1.5689655172413792
06034100210,155.0,98.0,632.258064516129,1.5816326530612246,1.5656565656565657
06033900123,133.0,84.0,631.578947368421,1.5833333333333333,1.5647058823529412
06033900224,53.0,33.0,622.6415094339623,1.606060606060606,1.5588235294117647
06030100215,57.0,36.0,631.578947368421,1.5833333333333333,1.5405405405405406
06033600301,605.0,393.0,649.5867768595042,1.539440203562341,1.5355329949238579
